x,Minimized,ThompsonModifiedHeuristic,ThompsonModifiedHeuristic5,ThompsonModifiedHeuristic10
0,1,1,1,1
25,2007,83,16,16
50,3997,295,28,24
75,5224,411,42,33
100,9061,326,107,43
125,11917,1070,180,55
150,12749,1235,1113,62
175,13813,1315,1228,74
200,16089,1430,1814,115
225,17156,1518,1773,183
250,18502,1652,1957,263
275,19866,2720,2606,431
300,21871,3762,4162,1575
325,23172,3876,4211,1565
350,24172,3880,4234,1626
375,25816,4248,4448,1961
400,27658,4439,4610,3380
425,30802,4569,4723,3466
450,38981,9604,4830,4284
475,40530,9678,4962,4362
500,45289,9859,4971,4423
525,46773,9899,5058,4492
550,47936,10144,5274,4705